District,Block
Agra,Achhnera
Agra,Akola
Agra,Bah
Agra,Barauli Ahir
Agra,Bichpuri
Agra,Etmadpur
Agra,Fatehabad
Agra,Fatehpur Sikri
Agra,Jagner
Agra,Jaitpur Kalan
Agra,Khandauli
Agra,Kheragarh
Agra,Pinahat
Agra,Saiyan
Agra,Shamsabad
Aligarh,Akrabad
Aligarh,Atrauli
Aligarh,Bijauli
Aligarh,Chandaus
Aligarh,Dhanipur
Aligarh,Gangiri
Aligarh,Gonda
Aligarh,Iglas
Aligarh,Jawan Sikanderpur
Aligarh,Khair
Aligarh,Lodha
Aligarh,Tappal
Ambedkar Nagar,Akbarpur
Ambedkar Nagar,Baskhari
Ambedkar Nagar,Bhiti
Ambedkar Nagar,Bhiyawan
Ambedkar Nagar,Jahangir Ganj
Ambedkar Nagar,Jalal Pur
Ambedkar Nagar,Katehari
Ambedkar Nagar,Ram Nagar
Ambedkar Nagar,Tanda
Amethi,Amethi
Amethi,Bahadurpur
Amethi,Bhadar
Amethi,Bhetua
Amethi,Gauriganj
Amethi,Jagdishpur
Amethi,Jamo
Amethi,Musafir Khana
Amethi,Sangrampur
Amethi,Shahgarh
Amethi,Shukul Bazar
Amethi,Singhpur
Amethi,Tiloi
Amroha,Amroha
Amroha,Dhanaura
Amroha,Gajraula
Amroha,Gangeshwari
Amroha,Hasanpur
Amroha,Joya
Auraiya,Achchalda
Auraiya,Ajitmal
Auraiya,Auraiya
Auraiya,Bhagyanagar
Auraiya,Bidhuna
Auraiya,Erwa Katra
Auraiya,Sahar
Ayodhya,Amaniganj
Ayodhya,Bikapur
Ayodhya,Hariyangatanganj
Ayodhya,Masodha
Ayodhya,Mawai
Ayodhya,Maya Bazar
Ayodhya,Milkipur
Ayodhya,Pura Bazar
Ayodhya,Rudauli
Ayodhya,Sohawal
Ayodhya,Tarun
Azamgarh,Ahiraula
Azamgarh,Atraulia
Azamgarh,Azmatgarh
Azamgarh,Bilariyaganj
Azamgarh,Haraiya
Azamgarh,Jahanaganj
Azamgarh,Koilsa
Azamgarh,Lalganj
Azamgarh,Mahrajganj
Azamgarh,Martinganj
Azamgarh,Mehnagar
Azamgarh,Mirzapur
Azamgarh,Mohammadpur
Azamgarh,Palhana
Azamgarh,Palhani
Azamgarh,Pawai
Azamgarh,Phulpur
Azamgarh,Rani Ki Sarai
Azamgarh,Sathiyaon
Azamgarh,Tahbarpur
Azamgarh,Tarwa
Azamgarh,Thekma
Baghpat,Baghpat
Baghpat,Baraut
Baghpat,Binauli
Baghpat,Chhaprauli
Baghpat,Khekra
Bahraich,Balaha
Bahraich,Chitaura
